imagePath,title,caption
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\50346.jpg,Aurelia Women Pink Kurta,"Pink, Kurtas, for Women, Ethnic, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\8056.jpg,Fila Men's Core Pique Polo Red T-shirt,"Red, Tshirts, for Men, Sports, Fall, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\8228.jpg,Fastrack Men Red Messenger Bag,"Red, Messenger Bag, for Men, Casual, Winter, 2016"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\8796.jpg,Scullers Men Black White Check Shirt,"Black, Shirts, for Men, Casual, Fall, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\54925.jpg,Do U Speak Green Men Cream Shorts,"Cream, Shorts, for Men, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\27209.jpg,Doodle Kids Boy Check Red Shirt,"Red, Shirts, for Men, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\4554.jpg,Nike Men's Total90 Shoot White Shoe,"White, Sports Shoes, for Men, Sports, Summer, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\28127.jpg,Jockey MODERN CLASSIC Men Brown Modern Classic Brief 8035,"Brown, Briefs, for Men, Casual, Summer, 2016"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\23569.jpg,Boss Women Femme Perfume,"Pink, Perfume and Body Mist, for Women, Casual, Spring, 2017"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\25752.jpg,Lino Perros Men Canvas Mustard Belt,"Mustard, Belts, for Men, Casual, Winter, 2015"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\33946.jpg,ADIDAS Men Green Polo T-shirt,"Green, Tshirts, for Men, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\53668.jpg,Kiara Women Teal Handbag,"Teal, Handbags, for Women, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\29461.jpg,Giordano Women White Dial Watch,"White, Free Gifts, for Women, Casual, Winter, 2016"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\13793.jpg,Proline Mens Solid Blue Polo Tshirt,"Blue, Tshirts, for Men, Casual, Fall, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\24081.jpg,Catwalk Women Red Casual Shoes,"Red, Casual Shoes, for Women, Casual, Winter, 2015"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\58898.jpg,Hakashi Men Black & Grey Silk Tie,"Grey, Ties, for Men, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\46606.jpg,Catwalk Women Blue Shoes,"Blue, Casual Shoes, for Women, Casual, Winter, 2015"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\38771.jpg,Woodland Men Khaki Shoes,"Khaki, Casual Shoes, for Men, Casual, Summer, 2016"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\19070.jpg,W Women Floral Print Blue Kurta,"Blue, Kurtas, for Women, Ethnic, Fall, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\25532.jpg,Wrangler Men Benefica Purple Shirt,"Purple, Shirts, for Men, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\28450.jpg,Urban Yoga Women Grey Track Pants,"Grey, Track Pants, for Women, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\14921.jpg,Mr. Men Men Beware Teal Tshirts,"Teal, Tshirts, for Men, Casual, Fall, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\29616.jpg,Indigo Nation Men Maroon Shirt,"Maroon, Shirts, for Men, Formal, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\17720.jpg,Reid & Taylor Men Check White Shirt,"White, Shirts, for Men, Casual, Fall, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\29223.jpg,Fila Men Pack Of 3 Socks,"White, Socks, for Men, Sports, Fall, 2014"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\47183.jpg,Ganuchi Men Red Casual Shoes,"Red, Casual Shoes, for Men, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\43367.jpg,Reebok Women Black Casual Shoes,"Black, Flats, for Women, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\23729.jpg,Ray-Ban Men High Street Sunglasses,"Black, Sunglasses, for Men, Casual, Winter, 2016"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\13292.jpg,Gini and Jony Kids Boys Printed Green Tshirts,"Green, Tshirts, for Men, Casual, Fall, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\10317.jpg,Esprit Women Purple Silicon Silver Watches,"Silver, Watches, for Women, Casual, Winter, 2016"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\37167.jpg,United Colors of Benetton Boys Check Grey Waistcoat,"Grey, Waistcoat, for Boys, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\12692.jpg,Nike Men Transform Black Sports Shoes,"Black, Sports Shoes, for Men, Sports, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\20483.jpg,Baggit Women Quick Buffalo Black Wallet,"Black, Wallets, for Women, Casual, Winter, 2015"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\33714.jpg,Cobblerz Men Brown Shoes,"Brown, Casual Shoes, for Men, Casual, Winter, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\58267.jpg,Baggit Women Bronze Handbag,"Bronze, Handbags, for Women, Casual, Fall, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\41753.jpg,Doodle Boys Printed Red T-shirt,"Red, Tshirts, for Boys, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\45405.jpg,Rocia Women Bronze Sandals,"Bronze, Flats, for Women, Casual, Winter, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\36308.jpg,Strapless Unisex Yellow Flip Flops,"Yellow, Flip Flops, for Unisex, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\50929.jpg,Parx Men Grey Briefs,"Grey, Briefs, for Men, Casual, Summer, 2016"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\59244.jpg,Titan Men Blue Watch,"Blue, Watches, for Men, Casual, Winter, 2016"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\31460.jpg,Nike Men Cricket Off White T-shirt,"White, Tshirts, for Men, Sports, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\52579.jpg,Mod'acc Women Beige Clutch,"Beige, Clutches, for Women, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\2849.jpg,Mr.Men Men's Mr.Messy Lt Grey T-shirt,"Grey, Tshirts, for Men, Casual, Summer, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\26433.jpg,Spice Art Women Leatherette Black Handbag,"Black, Handbags, for Women, Casual, Winter, 2015"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\44418.jpg,Red Tape Men Brown Shoes,"Brown, Casual Shoes, for Men, Casual, Winter, 2018"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\15634.jpg,Nike Men AS AD Club Pique Polo Navy Blue Tshirts,"Navy Blue, Tshirts, for Men, Casual, Fall, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\35661.jpg,U.S. Polo Assn. Men White Sandals,"White, Sandals, for Men, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\22990.jpg,2go Active Gear USA Men Pack of Two Cushion Socks,"White, Socks, for Men, Casual, Summer, 2016"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\36807.jpg,Mont Blanc Men Exceptionnel Perfume,"Bronze, Perfume and Body Mist, for Men, Casual, Spring, 2017"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\18873.jpg,Franco Leone Men Formal Brown Shoes,"Brown, Formal Shoes, for Men, Formal, Summer, 2013"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\55646.jpg,Catwalk Women Silver Heels,"Silver, Heels, for Women, Casual, Winter, 2015"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\50953.jpg,Lee Womens Blue Maxi Fit Jeans,"Blue, Jeans, for Women, Casual, Winter, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\7888.jpg,Proline Men Pack of 3 T-shirts,"Grey, Tshirts, for Men, Casual, Fall, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\7515.jpg,Nike Women's Aqua Blue Polo T-shirt,"White, Tshirts, for Women, Sports, Summer, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\35686.jpg,U.S. Polo Assn. Men Beige Shoes,"Navy Blue, Casual Shoes, for Men, Casual, Summer, 2013"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\44127.jpg,Boss Men In Motion Deo,"Grey, Deodorant, for Men, Casual, Spring, 2017"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\39788.jpg,Peter England Men Maroon Purple Shirt,"Purple, Shirts, for Men, Formal, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\10347.jpg,United Colors of Benetton Men Printed Purple Tshirts,"Purple, Tshirts, for Men, Casual, Fall, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\19871.jpg,ADIDAS Men Wires Navy Blue Flip Flops,"Navy Blue, Flip Flops, for Men, Casual, Fall, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\24216.jpg,Nike Unisex Arsenal Red Football Cap,"Red, Caps, for Unisex, Sports, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\35905.jpg,Peperone Women Brown & Pink Wallet,"Brown, Wallets, for Women, Casual, Fall, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\7791.jpg,Proline Men's Polo Solid Olive T-shirt,"Green, Tshirts, for Men, Casual, Fall, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\19189.jpg,United Colors of Benetton Men White Shirt,"White, Shirts, for Men, Casual, Fall, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\9012.jpg,Decathlon Men Quechua Grey Floater,"Grey, Sandals, for Men, Casual, Summer, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\50632.jpg,Chromozome Men Grey & Black Trunks,"Grey, Trunk, for Men, Casual, Winter, 2016"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\55377.jpg,Revlon Lavender Nail Enamel 323,"Pink, Nail Polish, for Women, Casual, Spring, 2017"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\58265.jpg,Baggit Women Brown Handbag,"Brown, Handbags, for Women, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\2707.jpg,Disney Kids Girl's Dress Pink Pooh Kidswear,"Pink, Dresses, for Girls, Casual, Summer, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\32112.jpg,Playboy Men Rap Grey Brief,"Grey, Briefs, for Men, Casual, Summer, 2016"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\43402.jpg,Lino Perros Men Monday to Friday Socks,"Black, Socks, for Men, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\6311.jpg,UCB Women Basic Racerback Black Top,"Black, Tops, for Women, Casual, Summer, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\24495.jpg,Mother Earth Women Magenta Printed Kurta,"Magenta, Kurtas, for Women, Ethnic, Fall, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\58372.jpg,Locomotive Men Beige T-shirt,"Beige, Tshirts, for Men, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\3650.jpg,Fila Men Drake White Sports Shoe,"White, Sports Shoes, for Men, Sports, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\33230.jpg,New Hide Unisex Brown Leather Laptop Bag,"Brown, Laptop Bag, for Unisex, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\19627.jpg,United Colors of Benetton Men Printed White Tshirt,"White, Tshirts, for Men, Casual, Summer, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\23214.jpg,Aneri Women Sagar Cream Kurta,"Cream, Kurtas, for Women, Ethnic, Fall, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\18367.jpg,Undercolors of Benetton Men Pack of 2 Vests,"Grey, Innerwear Vests, for Men, Casual, Summer, 2016"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\30713.jpg,Fabindia Black Silk Matka Purse,"Black, Clutches, for Women, Ethnic, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\36617.jpg,Catwalk Women Brown Flats,"Brown, Heels, for Women, Casual, Winter, 2015"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\10649.jpg,Doodle Boys Grand Prix White Shirt,"White, Shirts, for Boys, Casual, Fall, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\45692.jpg,TOUS Women Leau Eau De Parfum 90 ml,"Pink, Perfume and Body Mist, for Women, Casual, Spring, 2017"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\36753.jpg,Little Miss Girls Chatterbox Blue Clothing Set,"Blue, Clothing Set, for Girls, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\46413.jpg,ADIDAS Men Graphic Purple T-shirt,"Purple, Tshirts, for Men, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\46601.jpg,Catwalk Women Gold Coloured Heels,"Gold, Heels, for Women, Casual, Winter, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\9493.jpg,Puma Unisex Grit Black Backpacks,"Black, Backpacks, for Unisex, Casual, Fall, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\30774.jpg,Fabindia Men Striped Olive Tussar Kurta,"Olive, Kurtas, for Men, Ethnic, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\4524.jpg,Puma Men's YugoRun Black White Shoe,"Black, Sports Shoes, for Men, Sports, Summer, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\44188.jpg,iPanema Women Black Flip Flops,"Black, Flip Flops, for Women, Casual, Winter, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\36676.jpg,Paridhan Women Red Handbag,"Red, Handbags, for Women, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\20623.jpg,Baggit Women Voodoo Gipsy White Sling Bag,"White, Handbags, for Women, Casual, Winter, 2015"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\20331.jpg,Mr.Men Little Miss Men Purple Tshirt,"Purple, Tshirts, for Men, Casual, Fall, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\47477.jpg,Tiptopp Women Black Flats,"Black, Flats, for Women, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\51419.jpg,Myntra Men Blue and Green  Check Shirt,"Blue, Shirts, for Men, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\7831.jpg,Proline Men Red Printed T-shirt,"Red, Tshirts, for Men, Casual, Fall, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\9375.jpg,Puma Unisex FTPA Brown Socks,"Brown, Socks, for Unisex, Casual, Fall, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\37320.jpg,CASIO Sheen Women Pink Dial Analogue Watch (SH119) SHN-3011D-4ADR,"Pink, Watches, for Women, Casual, Winter, 2016"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\47322.jpg,Baggit Women Brown Chakde Lips Mobile Pouch,"Tan, Mobile Pouch, for Women, Casual, Fall, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\36767.jpg,Maxima Men Green Dial Watch,"Green, Watches, for Men, Casual, Winter, 2016"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\59677.jpg,Avirate Black & White  Brief,"Brown, Briefs, for Women, Casual, Summer, 2014"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\30331.jpg,Myntra Men Men At Work Black T-shirt,"Black, Tshirts, for Men, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\27101.jpg,Aneri Women Madhuri Yellow Kurta,"Yellow, Kurtas, for Women, Ethnic, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\57327.jpg,Amante White T-shirt Bra BCMF02,"White, Bra, for Women, Casual, Winter, 2015"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\10221.jpg,Murcia Women Emma Green Handbags,"Green, Handbags, for Women, Casual, Winter, 2015"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\24382.jpg,Folklore Women Maroon Printed Kurta,"Maroon, Kurtas, for Women, Ethnic, Fall, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\3028.jpg,Lee Women's Hillary Black T-shirt,"Black, Tshirts, for Women, Casual, Summer, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\38743.jpg,Nike Unisex Purple Hayward Backpack,"Purple, Backpacks, for Unisex, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\19260.jpg,Guess Men Power Broker Copper Watch,"Copper, Watches, for Men, Casual, Winter, 2016"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\8594.jpg,Scullers Men Navy Blue Polo T-Shirts,"Navy Blue, Tshirts, for Men, Casual, Fall, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\39543.jpg,Bwitch Red Bra,"Red, Bra, for Women, Casual, Winter, 2015"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\16185.jpg,Enroute Men Leather Black Formal Shoes,"Black, Formal Shoes, for Men, Formal, Fall, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\10008.jpg,Nike Men Town Navy Blue T-Shirts,"Navy Blue, Tshirts, for Men, Sports, Fall, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\5439.jpg,Nike Men's Red Polo T-shirt,"Red, Tshirts, for Men, Sports, Summer, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\3182.jpg,Nike Men's Lunarelite Black Green Shoe,"Black, Sports Shoes, for Men, Sports, Fall, 2010"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\17734.jpg,Puma Men Miami III Black Slipper,"Black, Flip Flops, for Men, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\53636.jpg,ADIDAS Men Black Shoes,"Black, Casual Shoes, for Men, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\57917.jpg,Fruit of the Loom Men White Pack of Three Socks,"White, Socks, for Men, Casual, Summer, 2016"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\37675.jpg,American Tourister Black Reversible Backpack,"Black, Backpacks, for Unisex, Casual, Spring, 2013"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\59457.jpg,Lucera Silver Ring,"Silver, Ring, for Women, Casual, Summer, 2015"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\10292.jpg,Clarks Women Brown Leather Heels,"Brown, Heels, for Women, Casual, Summer, 2015"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\55099.jpg,Pond's Women Gold Radiance Youthful Glow Day Cream,"Gold, Face Moisturisers, for Women, Casual, Spring, 2017"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\47109.jpg,Marvel Boys White Shoes,"White, Casual Shoes, for Boys, Casual, Fall, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\59498.jpg,Lucera Silver Tarika Necklace,"Silver, Necklace and Chains, for Women, Casual, Summer, 2013"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\46866.jpg,Lino Perros Men Pack Of Two Socks,"Black, Socks, for Men, Casual, Spring, 2013"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\59267.jpg,Titan Women Silver Watch,"Silver, Watches, for Women, Casual, Winter, 2016"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\57993.jpg,Latin Quarters Women Beige Dress,"Beige, Dresses, for Women, Casual, Fall, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\27304.jpg,ADIDAS Men Pure Game Deo,"Black, Deodorant, for Men, Casual, Spring, 2017"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\20202.jpg,Wrangler Men Glow Grey Sweatshirt,"Grey, Sweatshirts, for Men, Casual, Fall, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\15001.jpg,ADIDAS Men Stripes Navy Blue Polo Tshirts,"Navy Blue, Tshirts, for Men, Casual, Fall, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\32596.jpg,ONLY Women Peach Long Tank Top,"Peach, Tops, for Women, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\53754.jpg,ADIDAS Men Olive Chelsea FC Sweatshirt,"Olive, Sweatshirts, for Men, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\8887.jpg,John Miller Men Pink Shirt,"Pink, Shirts, for Men, Formal, Fall, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\16142.jpg,Tokyo Talkies Women Printed White Top,"White, Tops, for Women, Casual, Fall, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\24300.jpg,Converse Men Oxford Navy Blue Casual Shoes,"Navy Blue, Casual Shoes, for Men, Casual, Summer, 2013"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\5319.jpg,ADIDAS Women's Duramo Luxury White Shoe,"White, Sports Shoes, for Women, Sports, Summer, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\12367.jpg,Reid & Taylor Men White Shirt,"White, Shirts, for Men, Formal, Fall, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\31301.jpg,John Miller Men Striped Blue Shirt,"Blue, Shirts, for Men, Formal, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\10258.jpg,John Miller Men Line Navy Blue Trousers,"Navy Blue, Trousers, for Men, Formal, Fall, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\12669.jpg,Probase Men Stripes White Shirts,"White, Shirts, for Men, Casual, Fall, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\38657.jpg,Nike Men Court Majestic Black Shoes,"Black, Sports Shoes, for Men, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\17862.jpg,Levis Men Boxer Navy Blue Trunks,"Navy Blue, Trunk, for Men, Casual, Summer, 2016"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\59216.jpg,Titan Men White Watch,"White, Watches, for Men, Casual, Winter, 2016"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\56956.jpg,HM Women Metallic Flats,"Metallic, Heels, for Women, Casual, Winter, 2012"
